1.043028665636319e-06	2.865903367518144e-06	1.61865736942679e-06	1.3976620327032947e-06	
3.2590525205755586e-07	7.732860759360718e-07	6.019850585377953e-07	4.4765131789555086e-07	
3.390663273580897e-07	8.180866905947738e-07	5.152464347662071e-07	0.0007485090182046201	
3.8702005465070195e-07	9.97316334355583e-07	8.833008008340723e-07	4.1080994161587205e-06	
4.335370028414951e-07	8.858494221713305e-07	6.992182003034492e-07	5.368747767284263e-06	
4.1330120651411656e-07	5.51733914360225e-07	4.831854076091445e-07	3.913660059218999e-07	
2.90628282794634e-07	6.050688132751887e-07	4.907164911100922e-07	3.7385412830276957e-07	
2.3577526801970233e-07	4.690261956240076e-07	3.898237323941401e-07	3.97948470650712e-06	
2.3319005591994473e-05	4.5819894907761057e-07	3.6294063907322963e-07	3.648734443499095e-07	
2.0388004759185216e-07	2.4109557111875617e-07	3.156558826136585e-07	3.7488431258933954e-07	
7.706104431596832e-06	4.608429268528599e-07	1.696461246792234e-07	2.193149304086531e-06	
1.9304992694954026e-07	3.9923006360327844e-07	3.4762323926382327e-07	2.722535148647034e-07	
2.3796885447016502e-07	4.908274912706312e-07	6.041113814566971e-07	2.95523599660922e-07
1.4842716350967147e-07	6.356771562042603e-07	0.34908074338416417	2.8304773114986015e-07	
2.0151723684183333e-07	3.998565331703265e-07	3.2379377884504317e-07	2.7076862866423284e-07	
2.3771697680990495e-07	5.315840624589364e-07	3.5827516713867506e-07	3.034731521096219e-07	
1.890403604162011e-07	4.948976813887842e-07	5.116081509005294e-07	6.166274889169523e-07	
3.098562242055257e-07	9.281042232343308e-07	6.810451970404139e-07	3.71950602877972e-06	
2.8549935726607873e-07	6.617138148493536e-07	1.1776917893721595e-06	3.7667465580742065e-07	
1.6428710954178304e-07	4.852614924262276e-07	7.000869254358012e-07	3.478082627534715e-07	
